# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
246,1068,1,D,Female,0.666666666666667,1,"array([ 5.93962355, -1.60007833])"
247,1075,1,D,Female,1.0,3,"array([ 5.87160288, -1.54503354])"
248,1069,1,D,Male,0.666666666666667,3,"array([ 6.00824163, -1.49778457])"
249,1079,1,D,Male,0.666666666666667,3,"array([ 5.91377909, -1.51593321])"
250,1048,1,C,Male,1.0,3,"array([ 5.87673448, -1.52220824])"
251,1051,1,C,Male,0.666666666666667,2,"array([ 5.91937227, -1.53776146])"
252,1049,1,C,Male,0.333333333333333,1,"array([ 5.91200681, -1.47212356])"
253,1008,1,B,Male,0.666666666666667,3,"array([ 5.76468466, -1.47741283])"
254,1050,1,C,Male,0.333333333333333,2,"array([ 5.94058871, -1.5737026 ])"
255,1078,1,D,Male,1.0,3,"array([ 6.00334976, -1.43031006])"
256,1042,1,C,Female,1.0,3,"array([ 5.91348054, -1.5755673 ])"
257,1044,1,C,Male,0.666666666666667,3,"array([ 5.91983555, -1.55493665])"
258,1061,1,D,Female,1.0,2,"array([ 5.86268417, -1.46218481])"
259,1045,1,C,Male,1.0,3,"array([ 5.84410663, -1.5864873 ])"
260,1073,1,D,Male,1.0,3,"array([ 5.93267387, -1.52396037])"
261,1046,1,C,Male,0.666666666666667,0,"array([ 6.00185389, -1.54688995])"
262,1065,1,D,Female,0.666666666666667,3,"array([ 5.94472514, -1.63037504])"
263,1082,1,D,Female,0.666666666666667,2,"array([ 5.96519693, -1.52045051])"
264,1084,1,D,Male,0.666666666666667,2,"array([ 5.98623677, -1.50690779])"
265,1086,1,D,Male,1.0,3,"array([ 5.99457031, -1.47529202])"
266,1085,1,D,Female,1.0,0,"array([ 5.9055148 , -1.62863791])"
267,1083,1,D,Male,1.0,2,"array([ 5.982493  , -1.41084615])"
268,1294,2,C,Male,1.0,2,"array([ 5.76325475, -1.26509077])"
269,1054,1,C,Male,1.0,3,"array([ 5.86700218, -1.59178993])"
270,1239,2,A,Female,1.0,1,"array([ 5.72152571, -1.23197057])"
271,1229,2,A,Male,1.0,2,"array([ 5.70177872, -1.12581043])"
272,1263,2,B,Female,0.666666666666667,1,"array([ 5.76503995, -1.33875024])"
273,1266,2,B,Female,0.666666666666667,2,"array([ 5.77705432, -1.30203386])"
274,1267,2,B,Female,1.0,3,"array([ 5.80982961, -1.27841551])"
275,1269,2,B,Female,0.666666666666667,0,"array([ 5.79260963, -1.28670026])"
276,1270,2,B,Female,1.0,3,"array([ 5.84246858, -1.27430874])"
277,1278,2,B,Female,0.666666666666667,3,"array([ 5.8058504 , -1.33621306])"
278,1250,2,B,Female,0.333333333333333,3,"array([ 5.78001796, -1.32066981])"
279,1256,2,B,Female,0.666666666666667,3,"array([ 5.74699948, -1.34074538])"
280,1418,3,C,Female,0.666666666666667,3,"array([ 6.06980406, -1.24662794])"
